STT,Thời gian thực tế,Số lượng đạt,Số lượng lỗi,Thời gian bình quân (s),Năng suất ngày (sp),Năng suất đạt  (%),Bậc thợ,% lỗi,Hệ số,Thời gian chuẩn,Lỗi
1,48.0,20.0,0.0,162.82500000000002,20.0,0.002947950253339475,2,0.0,0.9,20.0,0
2,50.0,20.0,0.0,175.44,10.0,0.005699954400364797,2,0.0,0.9,20.833333333333336,0
3,84.0,3.0,0.0,162.82500000000002,20.0,0.0007738369415016121,2,0.0,0.9,35.0,0
4,18.0,6.0,1.0,162.82500000000002,20.0,0.0003316444035006909,2,0.0016666666666666666,0.9,7.5,1
5,102.0,9.0,0.0,120.45,22.0,0.0034642816710064527,2,0.0,0.9,42.5,0
6,114.0,6.0,0.0,162.82500000000002,20.0,0.0021004145555043752,2,0.0,0.9,47.5,0
7,84.0,6.0,0.0,162.82500000000002,20.0,0.0015476738830032242,3,0.0,1.0,23.333333333333336,0
8,198.0,12.0,0.0,162.82500000000002,40.0,0.0036480884385075994,2,0.0,0.9,82.5,0
9,114.0,10.0,2.0,162.82500000000002,20.0,0.003500690925840626,2,0.002,0.9,47.5,1
10,198.0,20.0,0.0,162.82500000000002,20.0,0.012160294795025332,2,0.0,0.9,82.5,0
11,114.0,7.0,0.0,162.82500000000002,20.0,0.002450483648088438,2,0.0,0.9,47.5,0
12,84.0,7.0,0.0,162.82500000000002,20.0,0.001805619530170428,2,0.0,0.9,35.0,0
13,18.0,5.0,0.0,162.3,20.0,0.000277264325323475,2,0.0,0.9,7.5,0
14,216.0,19.0,0.0,162.3,20.0,0.012643253234750462,4,0.0,1.15,45.0,0
15,114.0,12.0,0.0,162.3,20.0,0.00421441774491682,3,0.0,1.0,31.66666666666667,0
16,84.0,12.0,0.0,162.3,20.0,0.0031053604436229202,3,0.0,1.0,23.333333333333336,0
17,198.0,24.0,0.0,162.3,20.0,0.014639556377079482,2,0.0,0.9,82.5,0
18,114.0,10.0,0.0,162.3,20.0,0.0035120147874306835,3,0.0,1.0,31.66666666666667,0
19,84.0,10.0,0.0,162.3,20.0,0.002587800369685767,3,0.0,1.0,23.333333333333336,0
20,198.0,80.0,0.0,162.3,20.0,0.048798521256931605,3,0.0,1.0,55.00000000000001,0
21,114.0,11.0,0.0,173.68,10.0,0.007220175034546293,3,0.0,1.0,31.66666666666667,0
22,114.0,11.0,0.0,173.68,10.0,0.007220175034546293,3,0.0,1.0,31.66666666666667,0
25,114.0,33.0,0.0,173.68,10.0,0.02166052510363887,3,0.0,1.0,31.66666666666667,0
26,36.0,2.0,0.0,173.7,10.0,0.0004145077720207255,3,0.0,1.0,10.000000000000002,0
27,54.0,15.0,0.0,173.7,10.0,0.00466321243523316,2,0.0,0.9,22.5,0
28,114.0,10.0,0.0,173.7,10.0,0.0065630397236614854,3,0.0,1.0,31.66666666666667,0
29,114.0,14.0,0.0,173.7,10.0,0.009188255613126079,2,0.0,0.9,47.5,0
30,36.0,12.0,1.0,173.68,10.0,0.0024873330262551816,3,0.0008333333333333333,1.0,10.000000000000002,1
31,18.0,3.0,0.0,173.68,10.0,0.0003109166282818977,3,0.0,1.0,5.000000000000001,0
32,18.0,3.0,1.0,173.67999999999998,10.0,0.00031091662828189776,3,0.003333333333333333,1.0,5.000000000000001,1
33,32.4,25.0,0.0,173.68,10.0,0.004663749424228466,3,0.0,1.0,9.0,0
34,36.0,10.0,0.0,173.68,10.0,0.002072777521879318,3,0.0,1.0,10.000000000000002,0
35,27.0,23.0,1.0,173.68,10.0,0.003575541225241824,3,0.00043478260869565214,1.0,7.500000000000001,1
36,16.22,10.0,0.0,173.68,10.0,0.0009339014279134039,3,0.0,1.0,4.5055555555555555,0
37,36.0,16.0,0.0,173.68,10.0,0.0033164440350069093,3,0.0,1.0,10.000000000000002,0
38,27.0,11.0,0.0,173.68,10.0,0.001710041455550438,2,0.0,0.9,11.25,0
39,90.0,8.0,1.0,173.68,20.0,0.0020727775218793184,3,0.00125,1.0,25.000000000000004,1
40,36.0,13.0,0.0,173.68,10.0,0.002694610778443114,3,0.0,1.0,10.000000000000002,0
41,18.0,18.0,0.0,173.68,10.0,0.0018654997696913864,4,0.0,1.15,3.75,0
42,32.4,25.0,0.0,173.68,10.0,0.004663749424228466,3,0.0,1.0,9.0,0
43,43.2,11.0,0.0,173.68,10.0,0.002736066328880701,4,0.0,1.15,9.000000000000002,0
44,27.0,7.0,0.0,173.68,10.0,0.001088208198986642,3,0.0,1.0,7.500000000000001,0
45,27.0,1.0,0.0,173.68,10.0,0.00015545831414094888,3,0.0,1.0,7.500000000000001,0
46,16.22,15.0,0.0,173.68,10.0,0.001400852141870106,3,0.0,1.0,4.5055555555555555,0
47,36.0,18.0,0.0,173.68,10.0,0.003730999539382773,3,0.0,1.0,10.000000000000002,0
48,27.0,8.0,0.0,173.68,10.0,0.001243666513127591,4,0.0,1.15,5.625,0
49,16.2,10.0,0.0,173.7,10.0,0.0009326424870466321,2,0.0,0.9,6.75,0
50,69.6,3.0,0.0,10,10.0,0.020879999999999996,2,0.0,0.9,29.0,0
51,84.0,1.0,0.0,173.68,10.0,0.00048364808843850764,2,0.0,0.9,35.0,0
52,18.0,21.0,0.0,173.68,10.0,0.002176416397973284,3,0.0,1.0,5.000000000000001,0
53,66.0,10.0,0.0,173.67999999999998,10.0,0.0038000921234454172,3,0.0,1.0,18.333333333333336,0
54,32.4,25.0,0.0,173.68,10.0,0.004663749424228466,3,0.0,1.0,9.0,0
55,43.2,13.0,0.0,173.68,10.0,0.003233532934131737,3,0.0,1.0,12.000000000000002,0
56,27.0,16.0,0.0,173.68,10.0,0.002487333026255182,3,0.0,1.0,7.500000000000001,0
57,10.0,5.0,0.0,173.68,10.0,0.0002878857669276831,3,0.0,1.0,2.777777777777778,0
58,16.22,15.0,0.0,173.68,10.0,0.001400852141870106,2,0.0,0.9,6.758333333333333,0
59,36.0,24.0,0.0,173.68,10.0,0.004974666052510363,3,0.0,1.0,10.000000000000002,0
60,27.0,12.0,0.0,173.68,10.0,0.0018654997696913864,4,0.0,1.15,5.625,0
61,16.2,11.0,0.0,173.68,10.0,0.0010260248733302624,2,0.0,0.9,6.75,0
64,84.0,2.0,0.0,173.68,10.0,0.0009672961768770153,3,0.0,1.0,23.333333333333336,0
65,18.0,22.0,0.0,173.68,10.0,0.0022800552740672502,3,0.0,1.0,5.000000000000001,0
66,66.0,11.0,0.0,173.67999999999998,10.0,0.0041801013357899595,2,0.0,0.9,27.5,0
67,102.0,10.0,0.0,173.68,10.0,0.005872869645324736,2,0.0,0.9,42.5,0
68,43.2,17.0,0.0,173.68,10.0,0.0042284661446338094,4,0.0,1.15,9.000000000000002,0
69,27.0,3.0,0.0,173.68,10.0,0.0004663749424228466,4,0.0,1.15,5.625,0
70,96.5,7.0,0.0,173.7,10.0,0.0038888888888888888,3,0.0,1.0,26.805555555555557,0
71,16.22,17.0,0.0,173.68,10.0,0.0015876324274527868,3,0.0,1.0,4.5055555555555555,0
72,36.0,5.0,0.0,173.68,10.0,0.001036388760939659,4,0.0,1.15,7.5,0
73,27.0,18.0,0.0,173.68,10.0,0.00279824965453708,2,0.0,0.9,11.25,0
74,114.0,10.0,0.0,173.68,10.0,0.006563795485951174,3,0.0,1.0,31.66666666666667,0
75,16.22,29.0,0.0,10,30.0,0.015679333333333333,3,0.0,1.0,4.5055555555555555,0
76,165.34,10.0,0.0,173.68,10.0,0.009519806540764625,4,0.0,1.15,34.44583333333333,0
77,43.199999999999996,4.0,0.0,173.68,10.0,0.0009949332105020727,2,0.0,0.9,18.0,0
78,18.0,29.0,0.0,173.68,10.0,0.0030055274067250113,2,0.0,0.9,7.5,0
79,66.0,13.0,0.0,173.67999999999998,10.0,0.004940119760479042,2,0.0,0.9,27.5,0
80,102.0,15.0,0.0,173.68,10.0,0.008809304467987103,2,0.0,0.9,42.5,0
81,96.6,3.0,0.0,173.68,10.0,0.001668585905112851,3,0.0,1.0,26.833333333333336,0
82,27.0,15.0,0.0,173.68,10.0,0.002331874712114233,3,0.0,1.0,7.500000000000001,0
83,96.5,8.0,0.0,173.68,10.0,0.0044449562413634265,2,0.0,0.9,40.208333333333336,0
84,16.22,22.0,0.0,173.68,10.0,0.0020545831414094887,2,0.0,0.9,6.758333333333333,0
85,60.0,18.0,0.0,173.68,10.0,0.006218332565637954,2,0.0,0.9,25.0,0
86,27.0,17.0,0.0,173.68,10.0,0.002642791340396131,4,0.0,1.15,5.625,0
87,114.0,10.0,0.0,173.68,10.0,0.006563795485951174,5,0.0,0.0,19.0,0
90,16.2,5.0,0.0,173.68,10.0,0.0004663749424228466,2,0.0,0.9,6.75,0
91,18.0,5.0,0.0,173.68,10.0,0.0005181943804698295,2,0.0,0.9,7.5,0
92,66.0,15.0,0.0,173.67999999999998,10.0,0.005700138185168125,3,0.0,1.0,18.333333333333336,0
93,102.0,15.0,0.0,173.7,10.0,0.008808290155440414,2,0.0,0.9,42.5,0
94,36.0,2.0,0.0,173.68,10.0,0.00041455550437586366,3,0.0,1.0,10.000000000000002,0
